x,y
48.63661,-4.411164
44.2012986,1.8576953
46.141736,0.404965
46.4351729231305,4.65821921825409
44.7679,-0.3125
43.7056788063795,4.66414824128151
49.228611,0.721667
48.6359715815921,-1.51141405105591
43.4501102,6.3080895
47.597702,-3.0633934
48.873818,2.295023
48.9354196846302,2.35991477966309
48.6675691351204,-3.85842740535736
47.2336343,6.0303255
46.36354,4.700442
48.8736985969585,2.32269108295441
47.4698136,-0.5593384
44.6752839,1.8792255
45.775,3.498889
47.2595533,0.4666037
43.2798571264442,5.32513439655304
46.9518734665508,-0.0773334503173828
47.0424048078576,1.67296886444092
47.5615776782153,4.52347576618195
44.638101219349,-0.320652723312378
48.5601290798993,-0.154345035552979
44.8992,1.8256
46.2394201556751,3.22972297668457
48.0707956173737,1.32372379302979
49.521774855251,3.31861138343811
47.4477388488549,1.3438081741333
43.9580329,0.9211763
48.4671345668952,3.43147337436676
48.9471671045817,2.15389966964722
44.8624197,1.8599192
49.3469937613645,2.98019707202911
45.425833,0.744444
48.6454040146198,1.81732803583145
47.7697553616761,1.44447684288025
45.4779965450436,3.18597078323364
48.84266824545,2.43570327758789
49.2559,3.092076
46.2581309,6.1043544
48.8536468310556,2.60403871536255
43.2072833574495,2.36326217651367
